Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,CN,1,,bodies,,S,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,CN,,1,bodies,,Z,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,CN,2,,live,,S,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,CN,,2,live,,Z,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,,3,,bodies,,S,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,,,3,bodies,,Z,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,,2,,live,,S,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,CN,JP,,,2,live,,Z,C
2010,I,Rhinopithecus roxellana,Mammalia,Primates,Cercopithecidae,Rhinopithecus,KR,CN,,1,1,specimens,,E,O
2010,I,Semnopithecus entellus,Mammalia,Primates,Cercopithecidae,Semnopithecus,US,NP,,1,,skulls,,P,I
2010,I,Semnopithecus schistaceus,Mammalia,Primates,Cercopithecidae,Semnopithecus,US,NP,,1,,skulls,,P,I
2010,I,Cheirogaleus major,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,0.00175,,specimens,g,S,W
2010,I,Cheirogaleus major,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,,1.75,specimens,mg,S,W
2010,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,,100,hair,mg,S,W
2010,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,0.2,,specimens,g,S,W
2010,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,,100,specimens,mg,S,W
2010,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,GB,CA,,,2,live,,Z,C
2010,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,GB,CN,XX,1,,live,,Z,I
2010,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,FR,MG,,,75,hair,g,S,W
2010,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,FR,MG,,,4.5,hair,mg,S,W
2010,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,FR,MG,,,75,specimens,g,S,W
2010,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,FR,MG,,,4.5,specimens,mg,S,W
2010,I,Microcebus berthae,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,0.005,,specimens,g,S,W
2010,I,Microcebus berthae,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,5,specimens,mg,S,W
2010,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,CA,FR,,500,,specimens,g,S,C
2010,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,CA,FR,,,20,specimens,,S,C
2010,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,10,hair,mg,S,W
2010,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,0.03125,,specimens,g,S,W
2010,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,21.25,specimens,mg,S,W
2010,I,Microcebus ravelobensis,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,10,hair,mg,S,W
2010,I,Microcebus ravelobensis,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,0.02,,specimens,g,S,W
2010,I,Microcebus ravelobensis,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,20,specimens,mg,S,W
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,CZ,CH,,2,,live,,Z,C
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,CH,,1,,live,,S,C
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,0.00425,,specimens,g,S,W
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,4.25,specimens,mg,S,W
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,FR,MG,,10,,specimens,mg,S,W
2010,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,US,MG,,,75,hair,,S,W
2010,I,Mirza spp.,Mammalia,Primates,Cheirogaleidae,Mirza,GB,MG,,,15,specimens,,S,W
2010,I,Mirza coquereli,Mammalia,Primates,Cheirogaleidae,Mirza,DE,MG,,0.01,,hair,g,S,W
